country,population,region,users,family,friends,leisure,politics,work,religion,willingness,petition,boycott,demonstration,strikes,identity,marital,parents,children,household,education,income,weights
Albania,"3,088,385",Southern Europe,57,1.020308123,1.734265734,2.011888112,3.295518207,1.198740378,2.154653604,1.794561934,2.24535316,2.598046582,2.477688369,2.95971223,3.76119403,2.004888268,1.562543676,2.172942817,4.087351502,4.019512195,4.089326268,0.696864111
Andorra,"85,645",Southern Europe,6,1.115537849,1.535856574,1.421314741,2.94011976,1.525948104,2.96506986,1.448551449,1.645,2.574277168,2.054835494,2.34965035,4.748322148,2.844311377,1.108,1.211155378,2.500996016,4.856430708,5.302405498,0.9960159
Argentina,"45,864,941",South America,11,1.091724826,1.541375872,1.80980981,2.807192807,1.468405216,2.393939394,1.611392405,2.098532495,2.732899023,2.237894737,2.234527687,5.617571059,3.225324028,1.244267198,1.406147091,3.500501505,3.735792622,5.073452256,0.997009
Armenia,"3,011,609",Western Asia,16,1.110073382,1.738317757,1.986604153,2.789367429,1.468624833,1.828494261,1.870714286,2.296271186,2.593622795,2.314614344,2.585121602,4.534379671,2.818971276,1.594793057,1.790387183,4.262339419,5.14,4.008415147,0.6666667
Australia,"25,809,973",Oceania,717,1.110371603,1.479614949,1.646355353,2.41183228,1.995391705,2.897727273,1.553846154,1.218576196,2.07885906,2.016750419,2.193404136,5.068860451,2.52173913,1.068409344,1.786681716,2.480541455,5.655192197,5.085401039,0.551572
Austria,"8,884,864",Western Europe,3276,1.197929354,1.454047474,1.632764921,2.513431013,1.670121951,2.641497851,1.471684588,1.599877074,2.355781449,2.30387794,2.709256845,5.07493188,2.980428135,1.100487211,1.368615385,2.287897311,4.52862363,4.468501086,0.608272506
Azerbaijan,"10,282,283",Western Asia,19,1.086350975,1.875209849,1.94568869,2.829701835,1.521910112,2.39826087,1.774891775,2.669375,2.845482866,2.711683417,2.922397476,6.002814259,2.524207012,1.398885794,1.671118531,3.752921536,4.565,2.977356181,0.555555556
Belarus,"9,441,842",Eastern Europe,107,1.12386511,1.722618276,1.894293126,2.704114958,1.536505867,2.400655738,1.810302535,2.584740041,2.841496599,2.650610583,2.888211382,5.136160714,2.556921087,1.15683733,1.445307443,2.685751464,5.942469295,4.900593472,0.6459948
Bolivia,"11,758,869",South America,21,1.20232333,2.366990291,1.788526981,2.780235988,1.25205612,1.596414729,1.838902743,2.365548322,2.820418848,2.200785469,2.397655105,4.913069909,3.120698013,1.448493683,2.07696031,4.526902569,4.350315381,4.88639837,0.4837929
Bosnia and Herzegovina,"3,824,782",Southern Europe,11,1.077190946,1.572838073,1.683323649,3.111370262,1.444186047,1.840816327,1.508496732,1.866467066,2.300724638,2.261732852,2.507050889,4.880546075,2.957746479,1.294255569,1.401063201,2.928403756,4.259976526,4.489199492,0.5800464
Brazil,"213,445,417",South America,298,1.16969353,1.794769756,1.827625571,2.694219653,1.439704209,1.735612536,1.484197219,1.726341169,2.567917206,2.18489426,2.221217601,4.495726496,3.25368899,1.245743473,1.697502838,3.147559591,3.777970012,3.906947891,0.5675369
Bulgaria,"6,919,180",Eastern Europe,81,1.131612903,1.597034172,1.791911285,2.802501646,1.457087126,2.283631544,1.709150327,2.34947839,2.738567073,2.443870015,2.732612056,5.165297741,2.803732304,1.26413839,1.313863928,2.912524851,4.684719536,4.382778582,0.6418485
Canada,"37,943,231",North America,404,1.246640119,1.611249378,1.536087606,2.387257342,1.994275759,2.87506222,1.422847188,1.339223494,1.972374316,2.00273768,2.117471379,5.091049383,2.846441015,1.148581384,1.068690891,2.517172723,5.894420816,5.530283991,0.24888
Chile,"18,307,925",South America,20,1.079,1.701402806,1.427710843,2.948795181,1.674089069,2.418090452,1.474358974,2.311111111,2.711558855,2.254487856,2.351380042,4.95971223,2.482084691,1.239,1.667,3.235,4.821643287,4.664609053,1
China,"1,397,897,720",Southeastern Asia,74,1.145310436,1.729613734,2.077964982,2.363243603,1.723749586,3.248255234,1.896333333,2.406903419,2.581975391,2.65648855,2.705119681,NA,1.861829026,1.400995025,1.400800267,3.445293505,3.834331337,4.133533134,0.3293808
Colombia,"50,355,650",South America,18,1.205263158,1.970394737,1.592105263,2.782894737,1.317763158,1.667763158,1.753289474,2.065789474,2.336842105,2.213157895,2.436842105,4.753737907,3.464473684,1.388157895,1.669736842,3.853289474,4.119492657,4.158367911,0.6578947
Croatia,"4,208,973",Southern Europe,34,1.17071525,1.629130142,1.754409769,3.002050581,1.609972678,2.355281207,1.688715953,1.546648238,2.198257081,2.175839886,2.370639535,4.635748792,3.05495251,1.266937669,1.366891892,2.90349076,4.858203916,5.572056239,0.672495
Cyprus,"1,281,506",Western Asia,35,1.086258776,1.607250755,1.821862348,2.819105691,1.640243902,1.851172273,1.722838137,2.037190083,2.468196038,2.095482546,2.225906736,4.969230769,2.636272545,1.202040816,0.977933801,3.038076152,5.449021627,5.227956989,1
Czechia,"10,702,596",Eastern Europe,219,1.140798226,1.634850166,1.75264624,2.966704289,1.650196519,3.201729107,1.583216783,1.871310508,2.603481625,2.301851852,2.639301875,5.180606958,2.955182073,1.138410228,1.610614525,2.412599319,4.75696767,4.719492868,0.5521811
Denmark,"5,894,687",Northern Europe,189,1.135022355,1.551569507,1.654561825,2.446514423,1.917824773,3,1.778892944,1.586081694,2.096483038,1.922324159,2.149876391,5.112999685,2.796954315,1.061455847,1.769991015,2.454491018,5.121040048,5.518111965,0.297442
Egypt,"106,437,241",Africa,7,1.003333333,1.818181818,2.394449117,2.995730145,1.438963211,1.026666667,1.895907473,2.827467811,2.889361702,2.928388747,2.975234842,NA,2.34,1.255,2.140833333,3.9925,3.5975,4.987421384,0.8333333
Estonia,"1,220,042",Northern Europe,594,1.173508908,1.705157814,1.73515625,2.871715611,1.820306205,3.009360374,1.71350365,2.202982601,2.669527897,2.477599324,2.775107296,5.384704519,3.389017788,1.098221191,1.733641263,2.282742681,5.063650307,4.156723063,0.7668712
Finland,"5,587,442",Northern Europe,605,1.175482788,1.49874477,1.497890295,2.568181818,1.610455312,2.777590564,1.818827709,1.634417808,2.084494774,2.20880069,2.661498708,5.664522059,2.882253995,1.06980656,1.655231561,2.125862069,5.114836547,5.48733536,0.8340284
France,"68,084,217",Western Europe,1572,1.156768325,1.559549356,1.799785867,2.716586151,1.459634015,2.859913793,1.700455581,1.42949408,2.172961138,1.806677437,2.530891197,4.983892617,3.44772118,1.057815846,1.556149733,2.180032733,4.556092324,4.408175717,0.5347594
Georgia,"4,933,674",Western Asia,152,1.112682482,1.471715328,1.959558824,2.706801471,1.376255708,1.396890718,1.847331787,2.28267183,2.639904988,2.522492971,2.751180359,5.36329588,2.590597901,1.420376319,1.774680073,3.383524027,5.021441606,3.357756443,0.4557885
Germany,"79,903,481",Western Europe,13186,1.130576714,1.482983937,1.686338798,2.216171617,1.727171801,2.764125069,1.520265991,1.443059019,2.307760141,1.891838464,2.628292394,4.757575758,2.677173913,1.127317339,1.470892274,2.519880174,5.101086957,5.124768376,0.540832902
Greece,"10,569,703",Southern Europe,53,1.070833333,1.502923977,1.72278057,2.845766974,1.358090186,1.712614871,1.819148936,2.240101095,2.365517241,2.132478632,2.15969257,5.211238293,2.75,1.115191987,1.309166667,2.409166667,4.2325,4.528745645,0.8333333
Hong Kong,"7,263,234",Southeastern Asia,159,1.237108434,1.751325301,1.837602707,2.570251938,1.907818533,2.838242395,1.515939186,2.134912959,2.41025641,2.190821256,2.512100678,5.573282856,2.868243243,1.42939759,1.030405405,3.154291225,5.017366136,4.777400582,0.4819277
Hungary,"9,728,337",Eastern Europe,268,1.107804233,1.543291474,1.670634921,2.860573716,1.593355482,2.566377585,1.59100958,2.407282535,2.782164738,2.599053414,2.855775803,5.436813187,3.118473896,1.254339119,1.322192513,2.690714763,4.722627737,4.480225989,0.660502
Iceland,"354,234",Northern Europe,1307,1.058605799,1.427777778,1.659640422,2.422360248,1.529411765,2.713842334,1.545753785,1.469021066,1.723602484,1.773713577,2.594645081,5.020735786,2.529813665,1.126315789,2.065594059,2.930434783,5.19390926,5.552851711,0.6157635
Indonesia,"275,122,131",Southeastern Asia,6,1.02375,1.718309859,1.745073506,2.499050032,1.080962801,1.02,1.883669609,2.632422243,2.830919395,2.489770223,2.788449466,5.417727487,1.9759375,1.3630394,2.0678125,4.0503125,3.256642701,4.069475716,0.3125
Iraq,"39,650,145",Western Asia,1,1.0325,1.585976628,1.916177703,2.735042735,1.26293823,1.1675,1.801919721,2.632075472,2.766086957,2.568143101,2.764655172,NA,2.299166667,1.99,2.234166667,5.238333333,3.847953216,4.326513214,0.8333333
Italy,"62,390,364",Southern Europe,267,1.101010101,1.641318681,1.713028169,2.540744021,1.304405286,2.187913542,1.455223881,1.805998126,2.468095238,1.956624234,2.555287301,5.279688514,2.956,1.201060539,1.192358366,2.681654676,4.086130742,4.433270082,0.4391744
Japan,"124,687,293",Southeastern Asia,625,1.082774049,1.677153558,1.637931034,2.211463981,1.812260536,3.255737705,1.213173653,1.584640793,2.621212121,2.443825441,2.608486017,5.554603854,2.067164179,1.256254738,1.733883058,3.05116629,5.380703067,3.955133736,0.7390983
Kazakhstan,"19,245,793",Central Asia,63,1.071316614,1.732072498,1.870458136,2.609350238,1.673775671,2.138374899,1.798676749,2.706984668,2.862010221,2.74829932,2.873396065,NA,2.437751004,1.398130841,1.6849642,3.534750613,5.792176039,5.463253509,0.7830854
Kyrgyzstan,"6,018,789",Central Asia,1,1.071666667,1.588333333,1.823873122,2.722222222,1.591785415,1.645833333,1.936708861,2.714655172,2.880891174,2.701784197,2.885301614,NA,2.348370927,1.434333959,2.417391304,4.30748422,5.429524604,4.721518987,0.8333333
Lithuania,"2,711,566",Northern Europe,86,1.359277276,1.910602911,1.959412176,2.947257384,1.745428973,2.546428571,1.429744526,2.190661479,2.409235669,2.352439969,2.65948633,5.616193481,2.917418459,1.233217993,1.55401662,2.528314917,5.073560028,4.838650866,0.6906077
Malaysia,"33,519,406",Southeastern Asia,8,1.03960396,1.709063214,1.625285605,2.466108149,1.514851485,1.380807312,1.789794364,2.097486672,2.424219345,2.374714395,2.645087586,5.674175382,2.771515613,1.436405179,1.486671744,4.198781417,4.34424981,4.401263823,0.7616146
Mexico,"130,207,371",North America,117,1.035077631,1.913693901,1.575949367,2.854755043,1.310126582,1.849165227,1.704009434,2.450606586,2.771561772,2.539572501,2.642733063,4.976659373,2.506329114,1.329106628,2.318764569,4.148212226,4.025418833,4.134319527,0.5743825
Montenegro,"607,414",Southern Europe,2,1.11988012,1.436436436,1.613772455,2.714574899,1.284569138,1.544723618,1.613537118,1.700828157,2.162393162,2.310869565,2.473023839,4.377777778,2.976720648,1.255276382,1.759240759,3.253266332,4.632898696,5.173913043,0.997009
Netherlands,"17,337,403",Western Europe,2363,1.277917716,1.503966597,1.530518395,2.435092127,1.91540404,2.883312422,1.524761905,1.539507222,2.239637306,2.161633348,2.631038906,5.337908187,2.978233571,1.052543786,1.575073191,2.309243697,5.110595188,5.273381295,0.4159734
New Zealand,"4,991,442",Oceania,1,1.113412229,1.492015968,1.570854271,2.474059003,1.982328482,3.033057851,1.553642384,1.226783969,2.071044133,2.025613661,2.139186296,5.217948718,2.237403101,1.072674419,2.01839303,2.57635468,5.106906339,5.117997616,0.9460738
Nigeria,"219,463,862",Africa,4,1.015372168,1.498783455,1.40242915,2.244281046,1.164215686,1.079352227,1.695182724,2.590986395,2.709351306,2.291598023,2.348295927,5.191011236,3.12560778,1.391339869,1.896272285,4.682295877,3.526699029,4.286071726,0.8084074
North Macedonia,"2,100,000",Southern Europe,1,1.049773756,1.534059946,1.530593607,2.848623853,1.413102821,1.792007266,1.43956044,2.139053254,2.25739645,2.23655914,2.597322348,4.784482759,2.736073059,1.622857143,1.607142857,4.095930233,4.840723982,5.172131148,0.8952551
Norway,"5,509,591",Northern Europe,322,1.081105169,1.403743316,1.529937444,2.203389831,1.46875,2.726541555,1.897272727,1.431899642,2.220108696,1.881401617,2.755175518,5.161105815,3.154740608,1.068811439,1.694991055,2.541144902,5.286751361,4.677165354,0.8912656
Pakistan,"238,181,034",Southeastern Asia,4,1.091319619,1.569060773,2.258585859,2.696383087,1.608761329,1.147738693,1.881687243,2.580681818,2.700869565,2.54882924,2.722094361,NA,1.8160401,1.607124937,2.482205514,5.144650929,3.162148594,4.183831672,0.5
Peru,"32,201,224",South America,9,1.127857143,2.380714286,1.917385057,2.87815429,1.325681492,1.797277937,1.742619228,2.335055351,2.738148984,2.307246377,2.42369186,5.498533724,2.952142857,1.416905444,1.935714286,4.428571429,4.309285714,4.908892128,0.7142857
Philippines,"110,818,325",Southeastern Asia,9,1.019166667,1.723102585,2.341117598,1.959933222,1.086666667,1.152627189,1.755833333,2.4825,2.814691152,2.511259383,2.835,5.864948454,2.35,1.231666667,2.414166667,4.354166667,3.340833333,4.312764159,0.8333333
Poland,"38,185,913",Eastern Europe,781,1.069784707,1.658753709,1.646050671,2.654219567,1.486037736,1.874626866,1.79169992,1.922256098,2.631782946,2.354912414,2.731821736,5.634831461,2.514074074,1.295033358,1.770833333,3.139259259,4.635085122,4.562248996,0.739645
Portugal,"10,263,850",Southern Europe,123,1.134979424,1.58600823,1.631492168,2.860445912,1.580298013,2.193228737,1.381210479,2.298157454,2.705682782,2.455311973,2.831508003,4.930415264,3.014003295,1.142016807,1.578034682,2.502057613,3.347325103,NA,0.8230453
Romania,"21,230,362",Eastern Europe,558,1.100453436,1.843116702,1.70580014,3.094499295,1.572876617,1.759440559,1.574476987,2.383694839,2.792772011,2.45610119,2.750282912,4.90310323,2.533928571,1.269908386,1.412312097,2.833213515,4.240460763,4.526849894,0.696864089
Russia,"142,320,790",Central Asia,3204,1.223695112,1.775103734,1.834954154,2.705210365,1.853307501,2.477531286,1.753775039,2.441685912,2.787339557,2.475546605,2.810049376,5.613364055,3.02090301,1.185016287,1.261360507,2.409555371,5.821171918,4.780230028,0.550206331
Serbia,"6,974,289",Southern Europe,95,1.092483274,1.453794731,1.612470403,3.007563694,1.608609008,2.150039904,1.538356164,1.972891566,2.304252521,2.274638633,2.393001346,4.902654867,3.026232114,1.38743039,1.230676812,3.149361022,5.257551669,4.870781099,0.733724954
Singapore,"5,866,139",Southeastern Asia,199,1.092537313,1.69333996,1.840954274,2.576653307,1.865902293,2.098753117,1.776556777,2.414536341,2.77593985,2.727959698,2.881227982,4.935141509,2.809145129,1.393622322,1.352822581,3.58983392,5.21812749,4.95323741,0.4970179
Slovakia,"5,436,066",Eastern Europe,33,1.093575419,1.518854749,1.556643357,2.921568627,1.483612527,2.295438596,1.392746914,1.905728789,2.611410948,2.574515648,2.794656489,5.317446043,2.752280702,1.183344997,1.692757864,2.666666667,4.491918482,3.96659919,0.698324
Slovenia,"2,102,106",Southern Europe,18,1.15434986,1.617537313,1.707635009,3.124882629,1.458100559,2.788785047,1.80061665,1.933206107,2.357418112,2.291586998,2.570605187,4.620646766,2.629699248,1.300561798,1.47333957,2.973758201,4.693171188,4.942987457,0.9302326
South Korea,"51,715,162",Southeastern Asia,106,1.114056225,1.62248996,1.843373494,2.354216867,1.742168675,2.702008032,1.673895582,2.17751004,2.435341365,2.308433735,2.503614458,5.261254019,2.348594378,1.281927711,1.460240964,3.323694779,5.118072289,4.840160643,0.8032129
Spain,"47,260,584",Southern Europe,226,1.133278146,1.501655629,1.612903226,2.722452361,1.349875931,2.711092715,1.370473538,1.948898678,2.618964004,1.945439045,2.494727592,4.654661017,3.11,1.107526882,1.29197684,2.382695507,3.88879668,4.303738318,0.8271299
Sweden,"10,261,767",Northern Europe,1669,1.106992418,1.379513014,1.417998318,2.037783375,1.510495382,2.855340622,1.851433536,1.336983993,1.970288625,1.926458157,2.676320273,5.33032491,2.989681857,1.061499579,1.888982338,2.350506757,5.389830508,5.791234141,0.8375209
Switzerland,"8,453,550",Western Europe,1045,1.166190022,1.530456853,1.631862901,2.451633365,1.60484385,2.892630241,1.631262525,1.352472089,2.208066581,2.031629393,2.686538462,5.145503537,2.975094578,1.117965024,1.346594526,2.540894569,5.178033942,4.99521883,0.3150599
Taiwan,"23,572,052",Southeastern Asia,20,1.103843009,1.693376942,1.673753066,2.636958299,1.51103843,2.403924775,1.751430908,2.210139002,2.41782502,2.453802126,2.633687653,3.905115512,2.925531915,1.41210139,1.551921504,3.206050695,5.165302782,4.475760066,0.8176615
Thailand,"69,480,520",Southeastern Asia,22,1.129765886,1.84983165,2.038277512,2.319060773,1.563303995,1.748982361,1.686486486,2.473226238,2.571332887,2.558981233,2.645679839,5.701646091,1.979333333,1.498666667,1.787855496,4.190666667,3.135043889,4.689771198,0.6666667
Turkey,"82,482,383",Western Asia,82,1.092377796,1.419568823,1.535684647,2.353949018,1.722545757,1.523038605,1.799306459,2.403372244,2.559373641,2.415906128,2.561157387,5.606060606,2.781509121,1.300249169,1.352795031,3.559983396,3.333748961,5.325431034,0.4140787
Ukraine,"43,745,640",Eastern Europe,5823,1.139542936,1.767919276,1.831287268,2.908058218,1.731280616,2.348237005,1.699453552,2.323179792,2.703787879,2.485991782,2.757996146,5.453389831,2.502433936,1.237665045,1.305488436,2.822569444,5.839583333,4.227900037,0.68941745
United Kingdom,"67,171,895",Northern Europe,896,1.10576385,1.5,1.615901456,2.443258427,1.936730123,2.727170868,1.674202899,1.360380526,2.211473566,2.222222222,2.55505618,5.127102804,3.091928251,1.077827548,1.862668161,2.396638655,5.031513787,4.726138032,0.5592841
United States,"334,998,398",North America,4559,1.131507906,1.630662021,1.730054222,2.374125874,1.854926299,2.295348837,1.596244131,1.459743291,2.043647701,2.059213089,2.31264637,4.851380042,2.787750385,1.113653995,1.484943293,2.785439137,5.882123341,5.007949126,0.385208
Vietnam,"102,789,598",Southeastern Asia,16,1.04,1.9075,2.241666667,2.636666667,1.359166667,2.6375,1.964166667,2.716666667,2.9025,2.8825,2.893333333,NA,2.28,1.34,1.263333333,3.815833333,4.234166667,5.072986577,0.8333333
