country,population,region,3/2/2022,3/3/2022,3/4/2022,3/5/2022,3/6/2022,3/7/2022,3/8/2022,3/9/2022,3/10/2022,3/11/2022
Aland,"29,789",Europe,1,1,1,1,1,1,1,1,1,1
Albania,"3,088,385",Europe,19,22,22,23,32,44,51,54,54,57
Algeria,"43,576,691",Africa,0,8,8,8,8,8,8,8,9,10
Andorra,"85,645",Europe,2,6,6,6,6,6,6,6,6,6
Argentina,"45,864,941",South America,9,9,9,11,11,11,11,11,11,11
Armenia,"3,011,609",Asia,1,7,7,9,9,13,13,16,16,16
Australia,"25,809,973",Oceania,90,119,135,177,195,245,362,579,622,717
Austria,"8,884,864",Europe,821,1120,1191,1367,1454,1605,1886,1957,2092,3276
Azerbaijan,"10,282,283",Asia,0,3,13,16,16,16,18,18,19,19
Bahamas,"352,655",North America,8,8,8,8,11,11,19,23,23,23
Belarus,"9,441,842",Europe,34,38,38,47,47,54,91,97,99,107
Belgium,"11,778,842",Europe,29,52,61,75,86,102,120,124,155,173
Bhutan,"857,423",Asia,1,1,1,1,1,1,1,1,1,1
Bolivia,"11,758,869",South America,10,13,13,19,19,19,19,19,20,21
Bosnia and Herzegovina,"3,824,782",Europe,4,6,6,6,6,6,9,11,11,11
Brazil,"213,445,417",South America,85,110,122,138,163,188,248,270,279,298
Bulgaria,"6,919,180",Europe,17,31,33,46,48,57,70,72,76,81
Burkina Faso,"21,382,659",Africa,2,2,4,4,4,4,4,4,4,4
Cambodia,"17,304,363",Southeast Asia,4,4,4,4,4,4,4,4,4,4
Canada,"37,943,231",North America,89,123,132,163,167,210,315,337,358,404
Chile,"18,307,925",South America,2,2,6,18,20,20,20,20,20,20
China,"1,397,897,720",Asia,0,13,13,15,20,26,29,29,74,74
Colombia,"50,355,650",South America,2,10,10,14,14,14,18,18,18,18
Costa Rica,"5,151,140",North America,0,0,1,1,1,1,1,1,1,1
Croatia,"4,208,973",Europe,7,14,15,15,15,15,15,21,29,34
Cyprus,"1,281,506",Middle East,12,17,19,24,24,29,33,33,33,35
Czech Republic,"10,702,596",Europe,50,70,78,99,101,122,162,163,169,219
Denmark,"5,894,687",Europe,55,77,89,100,124,150,173,178,187,189
Egypt,"106,437,241",Middle East,0,0,0,0,0,0,0,0,0,7
Estonia,"1,220,042",Europe,17,32,37,39,44,46,471,541,566,594
Finland,"5,557,653",Europe,68,32,128,169,199,236,288,303,342,604
France,"68,084,217",Europe,160,275,326,409,441,502,1240,1272,1327,1572
Georgia,"4,933,674",Asia,20,43,49,61,71,102,143,144,152,152
Germany,"79,903,481",Europe,986,1506,2879,9455,9643,10236,12199,12358,12615,13186
Greece,"10,569,703",Europe,25,40,42,46,48,51,53,53,53,53
Hong Kong,"7,263,234",Asia,40,59,62,65,69,83,122,127,139,159
Hungary,"9,728,337",Europe,86,147,165,207,218,231,246,251,255,268
Iceland,"354,234",Europe,9,11,11,18,20,26,311,388,1082,1307
India,"1,339,330,514",Asia,23,41,46,75,79,90,117,117,126,155
Indonesia,"275,122,131",Southeast Asia,2,4,4,4,6,6,6,6,6,6
Iraq,"39,650,145",Middle East,1,1,1,1,1,1,1,1,1,1
Ireland,"5,224,884",Europe,83,122,127,143,147,160,186,190,195,197
Isle of Man,"90,895",Europe,0,0,0,0,0,0,0,0,0,2
Israel,"8,787,045",Middle East,17,40,49,56,62,64,86,88,102,122
Italy,"62,390,364",Europe,67,103,117,141,146,167,211,221,248,267
Japan,"124,687,293",Asia,83,215,229,303,356,428,546,561,595,625
Kazakhstan,"19,245,793",Asia,0,6,10,10,10,10,14,16,24,63
Kenya,"54,685,051",Africa,0,0,0,0,0,0,2,0,2,2
Kyrgyzstan,"6,018,789",Asia,0,0,0,0,0,0,0,0,1,1
Latvia,"1,862,687",Europe,36,44,45,56,58,68,80,82,90,107
Lithuania,"2,711,566",Europe,34,44,47,59,62,68,80,80,82,86
Luxembourg,"639,589",Europe,81,110,125,205,245,295,396,402,431,494
Malaysia,"33,519,406",Southeast Asia,0,0,0,2,2,2,2,2,3,8
Malta,"460,891",Europe,12,12,12,12,14,16,16,16,16,16
Mexico,"130,207,371",North America,41,45,53,61,67,73,100,106,111,117
Moldova,"3,323,875",Europe,41,60,60,76,90,110,156,173,188,198
Mongolia,"3,198,913",Asia,2,2,2,2,2,2,2,2,2,2
Montenegro,"607,414",Europe,0,0,0,2,2,2,2,2,2,2
Nepal,"30,424,878",Asia,0,0,0,0,9,29,34,34,37,37
Netherlands,"17,337,403",Europe,544,764,852,1050,1158,1329,1672,1764,1943,2363
New Zealand,"4,991,442",Oceania,0,0,0,0,0,0,1,1,1,1
Nigeria,"219,463,862",Africa,0,0,0,2,2,4,4,4,4,4
North Macedonia,"2,100,000",Europe,0,0,0,0,0,0,0,1,1,1
Norway,"5,509,591",Europe,63,99,101,140,162,178,248,263,282,322
Pakistan,"238,181,034",Asia,0,0,0,2,4,4,4,4,4,4
Panama,"3,928,646",North America,15,20,25,51,65,84,106,116,127,141
Peru,"32,201,224",South America,5,7,7,7,7,7,7,7,7,9
Philippines,"110,818,325",Southeast Asia,4,4,4,4,4,4,7,7,7,9
Poland,"38,185,913",Europe,338,418,435,509,543,603,712,723,745,781
Portugal,"10,263,850",Europe,21,36,38,48,59,67,82,84,94,123
Romania,"21,230,362",Europe,122,209,237,293,324,375,457,469,501,558
Russia,"142,320,790",Europe,382,593,695,970,1168,1582,2332,2511,2840,3204
Saudi Arabia,"34,783,757",Middle East,0,2,2,2,2,2,2,2,4,4
Serbia,"6,974,289",Europe,18,31,36,56,58,67,70,71,76,95
Seychelles,"96,387",Africa,12,20,24,42,55,64,95,105,121,128
Singapore,"5,866,139",Southeast Asia,50,76,82,97,113,127,150,163,178,199
Slovakia,"5,436,066",Europe,1,3,5,15,21,22,28,30,33,33
Slovenia,"2,102,106",Europe,13,13,13,13,13,15,18,18,18,18
South Africa,"56,978,635",Africa,0,1,2,2,4,4,12,12,12,12
South Korea,"51,715,162",Asia,5,20,26,36,37,52,85,85,96,106
Spain,"47,260,584",Europe,44,60,62,108,116,145,192,200,208,226
Sri Lanka,"23,044,123",Asia,0,0,0,0,0,0,0,0,5,5
Sweden,"10,261,767",Europe,108,208,234,358,480,1089,1318,1352,1406,1669
Switzerland,"8,453,550",Europe,314,363,451,708,736,781,923,942,982,1045
Syria,"20,384,316",Middle East,0,0,2,2,2,2,2,2,2,2
Taiwan,"23,572,052",Asia,5,9,9,9,11,11,15,15,15,20
Thailand,"69,480,520",Southeast Asia,7,7,13,17,19,22,22,22,22,22
Turkey,"82,482,383",Middle East,29,38,44,49,55,55,69,74,78,82
Uganda,"44,712,143",Africa,0,0,0,0,3,3,3,3,3,3
Ukraine,"43,745,640",Ukraine,1235,2205,2470,2876,3252,3648,4582,4726,5097,5823
United Arab Emirates,"9,856,612",Middle East,13,17,20,29,38,53,113,120,133,137
United Kingdom,"67,081,000",Europe,151,222,249,302,312,370,510,552,641,894
United States,"334,998,398",North America,1055,1527,1686,2132,2342,2678,3487,3662,3928,4559
Uruguay,"3,398,239",South America,0,2,2,4,4,4,4,4,4,4
Uzbekistan,"30,842,796",Asia,0,0,0,0,0,0,0,2,2,4
Venezuela,"29,069,153",South America,3,3,3,6,6,6,8,9,12,12
Vietnam,"102,789,598",Southeast Asia,4,4,4,13,15,15,15,15,16,16
Zambia,"19,077,816",Africa,1,1,1,1,1,1,1,1,1,1
